,CONAME,address,lat,lng,distance
343,NEWPARK RESOURCES,"9320 Lakeside Boulevard, Suite 100, The Woodlands, TX, 77381",30.17050609999999,-95.4763911,12318.718326
344,NEWPORT CORP,"1791 Deere Avenue, Irvine, CA, 92606",33.7009104,-117.8416088,11821.78661
345,NIKE INC  -CL B,"One Bowerman Drive, Beaverton, OR, 97005",45.50702219999999,-122.8254766,10447.735919
346,NOBLE ENERGY INC,"1001 Noble Energy Way, Houston, TX, 77070",29.9948551,-95.5812153,12339.162439
347,NORDSON CORP,"28601 Clemens Road, Westlake, OH, 44145",41.468993,-81.9366809,10853.73264
348,NORDSTROM INC,"1617 Sixth Avenue, Seattle, WA, 98101",47.6124423,-122.3364045,10231.624755
349,NORFOLK SOUTHERN CORP,"Three Commercial Place, Norfolk, VA, 23510",36.8454996,-76.2880966,11184.803452
350,MOVADO GROUP INC,"650 From Road, Suite 375, Paramus, NJ, 7652",40.9626475,-74.06856739999999,10689.039532
351,EVERSOURCE ENERGY,"300 Cadwell Drive, Springfield, MA, 1104",42.1512628,-72.5474163,10518.270895
352,NISOURCE INC,"801 East 86th Avenue, Merrillville, IN, 46410",41.4614637,-87.3254497,10965.585292
353,XCEL ENERGY INC,"414 Nicollet Mall, Minneapolis, MN, 55401",44.97957539999999,-93.2705091,10663.729225
354,NORTHERN TRUST CORP,"50 South La Salle Street, Chicago, IL, 60603",41.8811501,-87.6330595,10925.376547
355,NORTHROP GRUMMAN CORP,"2980 Fairview Park Drive, Falls Church, VA, 22042",38.8677505,-77.2159054,11002.809373
356,TEREX CORP,"200 Nyala Farm Road, Westport, CT, 6880",41.1228346,-73.3273007,10648.797291
357,NORTHWEST NATURAL GAS CO,"220 North West, Second Avenue, Portland, OR, 97209",45.52491939999999,-122.6719341,10448.980752
358,NORTHWESTERN CORP,"3010 West 69th Street, Sioux Falls, SD, 57108",43.490267,-96.75843379999999,10858.331285
359,WELLS FARGO & CO,"420 Montgomery Street, San Francisco, CA, 94104",37.7933844,-122.4026141,11283.397567
360,NUCOR CORP,"1915 Rexford Road, Charlotte, NC, 28211",35.1587199,-80.83488109999999,11495.950713
361,OCCIDENTAL PETROLEUM CORP,"5 Greenway Plaza, Suite 110, Houston, TX, 77046",29.73285,-95.434912,12366.512228
362,OCEANEERING INTERNATIONAL,"11911 FM 529, Houston, TX, 77041",29.8793825,-95.5887247,12351.967039
363,BRISTOW GROUP INC,"2103 City West Boulevard, 4th Floor, Houston, TX, 77042",29.7426921,-95.55934889999999,12366.728598
364,FIRSTENERGY CORP,"76 South Main Street, Akron, OH, 44308",41.0831382,-81.5182305,10884.867331
365,OGE ENERGY CORP,"321 North Harvey, PO Box 321, Oklahoma City, OK, 73101",35.4707055,-97.51808249999999,11751.063196
366,OLIN CORP,"190 Carondelet Plaza, Suite 1530, Clayton, MO, 63105",38.6482694,-90.3332073,11321.476666
367,ONEOK INC,"100 West Fifth Street, Tulsa, OK, 74103",36.1505651,-95.9916855,11663.920403
368,OWENS & MINOR INC,"9120 Lockwood Boulevard, Mechanicsville, VA, 23116",37.64449159999999,-77.40866679999999,11136.209392
369,OWENS-ILLINOIS INC,"One Michael Owens Way, Perrysburg, OH, 43551",41.5285372,-83.64799190000001,10885.987901
