ticker,security,sector,sub industry,location,date
GILD,Gilead Sciences,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
GPN,Global Payments Inc.,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
GS,Goldman Sachs Group,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
GT,Goodyear Tire & Rubber,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
GWW,Grainger (W.W.) Inc.,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
HAL,Halliburton Co.,Energy,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
HBI,Hanesbrands Inc,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
HOG,Harley-Davidson,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
HRS,Harris Corporation,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
HIG,Hartford Financial Svc.Gp.,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
HAS,Hasbro Inc.,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
HCA,HCA Holdings,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
HCP,HCP Inc.,Real Estate,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
HP,Helmerich & Payne,Energy,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
HSIC,Henry Schein,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
HSY,The Hershey Company,Consumer Staples,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
HES,Hess Corporation,Energy,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
HPE,Hewlett Packard Enterprise,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
HFC,HollyFrontier Corp,Energy,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
HOLX,Hologic,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
HD,Home Depot,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
HON,Honeywell Int'l Inc.,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
HRL,Hormel Foods Corp.,Consumer Staples,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
HST,Host Hotels & Resorts,Real Estate,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
HPQ,HP Inc.,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
HUM,Humana Inc.,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
HBAN,Huntington Bancshares,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
HII,Huntington Ingalls Industries,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
IDXX,IDEXX Laboratories,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
INFO,IHS Markit Ltd.,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ITW,Illinois Tool Works,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ILMN,Illumina Inc,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
IR,Ingersoll-Rand PLC,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
INTC,Intel Corp.,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ICE,Intercontinental Exchange,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
IBM,International Business Machines,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
INCY,Incyte,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
IP,International Paper,Materials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
IPG,Interpublic Group,Communication Services,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
IFF,Intl Flavors & Fragrances,Materials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
INTU,Intuit Inc.,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ISRG,Intuitive Surgical Inc.,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
IVZ,Invesco Ltd.,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
IPGP,IPG Photonics Corp.,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
IQV,IQVIA Holdings Inc.,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
IRM,Iron Mountain Incorporated,Real Estate,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
JEC,Jacobs Engineering Group,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
JBHT,J. B. Hunt Transport Services,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
JEF,Jefferies Financial Group,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
SJM,JM Smucker,Consumer Staples,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
JCI,Johnson Controls International,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
JPM,JPMorgan Chase & Co.,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
JNPR,Juniper Networks,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
KSU,Kansas City Southern,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
K,Kellogg Co.,Consumer Staples,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
